	Unnamed: 0	topic_id	facet_id	facet	initial_request	question1	answer1	question2	answer2	question3	answer3
124	124	210	F0466	Where can I get a used golf gps device?	golf gps	would you like a comparison of golf gps systems	yes please it would be helpful to get information on the available used systems and where i can get them	are you interested in the history of gps systems in golf	No, i just need to know where i can buy used golf gps devices	are you interested in the accuracy of the gps	yes as well as where I can get the best used one.
125	125	281	F0706	How does a ketogenic diet help with epilepsy?	What is a ketogenic diet?	are you interested in the benefits of a ketogenic feet	yes i am interested in how it benefits epilepsy	do you need to read the rules of a ketogenic feet	No I want to know how it helps epilepsy	are you interested in reading ketogenic feet reviews	Provide information on the correlation between ketogenic diet and seizure disorder.
126	126	247	F0580	"Find the lyrics to Eminem's ""Rain Man""."	Tell me about rain main.	are you looking for a lyrics of the rain main song	i am looking for the lyrics of eminems rain man	are you looking for information on the cast and crew for rain man	"I need to find the song lyrics for Eminem's song ""Rain Man"""	do you want to know who directed rain man	"No, I need you to show me the lyrics to the song ""Rain Man"" by Eminem."
127	127	278	F0685	Find biographical information for Fred Rogers.	Find information about mister rogers	are you interested in the details of mister rogers life	yes	are you interested in the mister rogers movie	No, I just need information about Fred Rogers and his life	would you like to see mister rogers biography	Yes I do.
128	128	265	F0639	What damage can an F5 tornado do?	What were the worst tornadoes in the USA?	which tornados were the most devastating	no i would like to know the kind of damage and f5 tornado can cause	would like to know about where f5 tornadoes have struck	no, but I'd like to know what the extent of damage that f5 tornadoes can do	how many victims f5 tornado caused	No, I just want to know about the damage a F5 tornado is capable of.
129	129	259	F0623	Do carpenter bees sting?	What is special about Carpenter bees?	do you need to know how to get rid of carpenterter bees	no i am curious if carpenterter bees will sting	are you simply seeking general information about carpenterter bees	No.	did you find them	Yes and now I would like to know if they sting humans or animals.
130	130	297	F0754	How can one prevent altitude sickness?	Tell me about altitude sickness.	what aspects of altitude sickness are you looking for information on	i want to know about prevention	do you want to know chances to have altitude sickness in specific locations	I don't know	would you like to know how to reverse altitude sickness	Yes, it would be useful to know how to reverse altitude sickness.
131	131	204	F0429	What are the official PGA rules for golf?	What is most importan rule of golf	are you interested in the most important rules of golf	no i am looking for the offical pga rules	are you interested in the basic rules of golf	I do not understand the question	are you interested in the current changes on the rules of golf	No, I would I would like to know the offical pga rules in detail.
132	132	210	F0461	What is the best golf gps device?	golf gps	would you like a comparison of golf gps systems	yes	are you interested in the history of gps systems in golf	Not the history.. I need to buy one	would you like to buy a golf gps system	maybe, I would like to know what is the best gps golf system.
133	133	289	F0726	What are the benefits of yoga during pregnancy?	tell me about benefits of yoga	do you like to know benefits of yoga in the morning	no i would like to know the benefits of yoga during pregnancy	are you referring to benefits of yoga essay	No, I just want to know why yoga would be good when I'm pregnant	are you interested in benefits of yoga classes	I would prefer to know the benefits of yoga for someone who is pregnant.
134	134	259	F0621	What damage can a carpenter bee do to a home or structure?	What is special about Carpenter bees?	do you need to know how to get rid of carpenterter bees	tell me the extent of structure damage that can be done by a carpenterter bee	are you simply seeking general information about carpenterter bees	No, I want to know how they cause structural damage to buildings.	how harmful are carpenterter bees	Yes to a home or structure.
135	135	270	F0652	Find quotes from Sun Tzu.	I'm interested in sun tzu	would like to know the story behind sun tzu	no i would like to see sun tzu quotes	would you like to see quotes by sun tzu	Yes	are you interested in books written about sun tzu	yes very much interested.
136	136	273	F0670	Is there a genetic basis to Wilson's disease?	Give me information on wilson's disease.	are you interested in description of the disease	I don't understand your question.	would you like to hear about treatments for this disease	No. I want to know what the genetic predispositions towards it are	are you looking for the symptoms of this disease	No, I would like to know the genentic basis for the disease.
137	137	289	F0726	What are the benefits of yoga during pregnancy?	tell me about benefits of yoga	would you like to know how the benefits of yoga are related to time of day	just in general the benefits of yoga	do you like to know benefits of yoga in the morning	I need to know the benefits of yoga during pregnancy.	what types of benefits of yoga would you like to know about	The benefits of it during pregnancy.
138	138	281	F0708	Find a ketogenic diet food list.	What is a ketogenic diet?	are you looking for diet information	I don't understand your question.	do you want to learn about the history of dieting	No, I want a food list for a ketogenic diet	are you interested in reading some inspirational quotations about dieting	No, that is all i wanted, thank you
139	139	207	F0440	What surgical options are used to treat BPH?	Tell me about bph treatment	are you looking for the bph treatment guidelines	yes and i would like to specifically know about surgical options to treat bph	do you want to know what causes bph	No, I want to now about the surgical options used in treating BPH.	are you looking for treatment options	Yes surgical options.
140	140	289	F0725	What are the benefits of various yoga poses?	tell me about benefits of yoga	do you like to know benefits of yoga in the morning	yes but tell me about the benefits of the different poses	are you interested in benefits of yoga classes	As I have stated before	are you interested in videos listing the benefits of yoga	Yes, that is a big help.
141	141	218	F0494	What type of pumps are used for solar water fountains?	Tell me information about solar water fountains.	are you looking for the price of solar water fountains	no im searching for the type of pumps they use	which price range of solar water fountains are you looking for	sorry, that's not right.. what kinds of pumps do solar water fountains use?	what specific types of solar water fountains are you interested in	I am not interested in any specific types; I just want to know about which pumps they use.
142	142	281	F0705	What are the side effects of a ketogenic diet?	What is a ketogenic diet?	are you interested in the benefits of a ketogenic feet	no i am looking for the side effects	do you need to read the rules of a ketogenic feet	No. I need to know what kind of side effects I should expect when I start the keto diet	are you interested in reading ketogenic feet reviews	No just what can happen on the diet.
143	143	237	F0551	Find information about difficulty in swallowing caused by a lump in the throat.	Find me information about a lump in the throat.	would you like to know how to fix a lump in the throat	yes and what i can do to stop it	would you like to know what causes a lump in the throat	In formation on difficulties in swallowing caused by lump in the throat.	are you interested in the reasons a lump in the throat occurs	yes
144	144	208	F0449	Who was Boris Pasternak and how did his life affect his book?	tell me more about Doctor Zhivago	are you asking about the movie doctor zhivago	no i want to know about the book	do you want to read reviews about dr zhivago	yes iam looking for the book review about dr zhivago	do you mean the book or the movie	I need information on Bob Pasternak's life and how it influenced his book.
145	145	253	F0593	What treatments are available for a tooth abscess?	What treatments are available for a tooth abscess?	are you looking for pictures of a tooth abscess	no i need treatments for it	do you want to see a selfquiz to determine if you have a tooth abscess	This is not related to my search.	do you want to know how a tooth abscess is treated	Yes, I would like to know that.
146	146	222	F0511	What is the medical term for male menopause?	I'm looking for information on male menopause	are you interested in the differences between male and female menopause	no what is the medical term for male menopause	are you interested to see male menopause jokes	I don't know	would you like to know what age men may start male menopause	Nope just the technical term for it.
147	147	243	F0564	Find pictures of the Afghanistan flag.	Find information about afghanistan flag	would you like to know the origin of the afghanistan flag	no	would you like to know if the afghanistan flag has any symbols	I would like to see pictures of the flag.	are you interested in purchasing an afghanistan flag	No, I just want to see pictures of it.
148	148	275	F0677	Get details on the bombing of the USS Cole.	Tell me about USS Cole.	would you like to know where the uss cole is	no i am more interested in information about the bombing	would you like to know about the 2000 uss cole bombing	I don't know.	are you interested in the history of the uss cole	No just general details regarding the bombing of it.
149	149	258	F0617	What are the advantages and disadvantages of a hip roof over other roof types?	Find information on hip roof	do you want to know where hip roofs are popular	no i want to know what advantages and disadvantages hip roofs offer	do you want to know the common features of hip roofs	Advantages and Disadvatages of a Hip roof Over other roof types.	would you like to see how a hip roof looks like	No just why it's better or worse than other types.
150	150	259	F0621	What damage can a carpenter bee do to a home or structure?	What is special about Carpenter bees?	what kind of sound carpenterter bees make	what kind of damage can they do	do you need to know how to get rid of carpenterter bees	No, I want to know what the worst they can do is	are you looking for signs to identify if carpenterter bees are present	No, I'm just curious as to what is the extent of the damage they can cause.
151	151	213	F0475	How is CTS diagnosed?	I'm looking for information on carpal tunnel syndrome	would you like to know how to prevent carpal tunnel syndrome	yes how is it diagnosed	would you like know about carpal tunnel syndrome	Yes but I would specifically like to know info on how it is diagnosed	do you want to know the symptoms of carpal tunnel syndrome	Yes, please provide me with the major symptoms of carpal tunnel syndrome.
152	152	242	F0562	Find recipes using cannellini beans.	cannellini beans	would you like to know where cannellini beans come from	no i would not i need a recipe	are you trying to find uses for cannellini beans	yes, specifically need to know recipes that use them	are you wondering how nutritious cannellini beans are	No, I just want recipes that use cannellini beans
153	153	222	F0508	What are the symptoms and signs of male menopause?	I'm looking for information on male menopause	are you interested in the differences between male and female menopause	no i just want to know about male menopause	are you interested to see male menopause jokes	No tell me the indicators of male menopause, the medically recognized symptoms and signs.	are you interested in male menopause symptoms	Yes, I am, what are the symptoms?
154	154	272	F0663	What do dreams about being chased mean?	How can I interpret my dreams	do you want to know common ways to explain dreams	no i want to know about being chased in your dreams	do you want to know what dreams mean	Specifically I need to know the interpretation of being chased	would you like an app on dreams interpretation	No just what being chased in a dream means.
155	155	275	F0678	What were the results of the investigation of the USS Cole bombing?	Tell me about USS Cole.	are you interested in the history of the uss cole	yes i would like to learn more	would you like to know the history of the uss cole	Yes.	do you want to know the history behind the uss cole	Just want the results of the investigation.
156	156	202	F0425	Where can I get a cruise book for the USS Carl Vinson?	Give me information on uss carl vinson.	would you like to know where the uss carl vinson is at right now	i would like to know where i can get a cruise book for the uss carl vinson	are you interested in how the uss carl vinson got its name	No, I'd like to find out how I can get a cruise book for the USS Carl Vinson.	are you interested in who carl vinson was	Nope just how to acquire a cruise book.
157	157	207	F0439	Which medications are used for BPH?	Tell me about bph treatment	are you looking for the bph treatment guidelines	yes	are you looking for treatment options	Yes medication options	do you need pain medication to accompany your bph treatment	I am looking for any medication used for BPH, not just pain ones.
158	158	282	F0709	What interplanetary missions has NASA implemented or has planned?	Tell me about nasa interplanetary missions	are you interested in movie with interplanetary missions	no please show me what interplanetary missions nasa has planned	are you referring to past missions	yes, but specifically to other planets	do you want to know how often nasa tries to travel to other planets	Yes, that is what I need to know.
159	159	247	F0578	"Find movie reviews of ""Rain Man""."	Tell me about rain main.	are you looking for a lyrics of the rain main song	no only movie reviews	would you like a list of reviews for the film rain man	yes i would like  a list of reviews for the film rain man	are you referring to the movie rain man	Yes, I am referring to that movie, and specifically its reviews.
160	160	278	F0690	Find information about Mister Rogers' Purple Panda.	Find information about mister rogers	are you interested in the details of mister rogers life	i am interested only in mister rogers purple panda	are you interested in the mister rogers movie	I don't know	are you interested in watching clips of mister rogers neighborhood	Only if they involve the Purple Panda.
161	161	255	F0607	Locate information about teddy bears by Steiff.	Tell me about teddy bears.	do you want to know where to buy teddy bears	yes	are you looking for general information about teddy bears and are you looking to buy a teddy bear	I am interested in Steiff teddy bears.	do you want to know about the history of teddy bears	Yes, Only on Steiff teddy bears.
162	162	212	F0469	What home theater systems does Bose offer?	Tell me about home theater systems.	would you like a list of stores that sell home theater systems	no just a list of systems that bose offers	would you like to buy a home theater system	I want to see a list of home theater system Bose offers.	are you looking to compare price points for theater systems	I don't know.
163	163	201	F0423	Find a picture of a raspberry pi.	I would like to know more about raspberry pi	do you want to know where raspberry pi is made	no id like to find a picture of a raspberry pi	would you like to know about raspberry pi os	Yes, I want a picture.	would you like to know about raspberry pi camera	Just wanna see flicks of what it looks like.
164	164	215	F0484	What information is available about Maryland parks and recreation?	Info on maryland department of natural resources	do you want to know what jobs are available at the maryland department of natural resources	no	do you want to know the location of maryland department of natural resources	No, I want to know more about the department itself and how it runs.	are you referring to the the department of natural resources in maryland	I am referring to Maryland Parks and Recreation.
165	165	226	F0522	What is the zip code for Traverse City, Michigan?	Tell me about traverse city.	are you trying to find directions to traverse city	no i want the zip code	are you asking about traverse city in michigan	Yes , I need its zip code.	what would you like to know about traverse city	Jsut the zip code please.
166	166	249	F0585	Find information about occupational therapy for a child.	What is an occupational therapist?	do you want to find an occupational therapist	no i just want information about occupational therapy for a child	what area do you need an occupational therapist in	I want information on a Childs Occupation Therapist.	are you looking for an occupational therapist	No, I would first like to research information about occupational therapy for a child.
167	167	294	F0748	What is the definition of a flowering plant?	tell me more flowering plants	do you want to know about distinctive features of a flowering plant	no i need its definition only	how much gardening do you want with your flowering plant	I don't know	how big would you like your flowering plants to get	"No, I need an overall definition of a ""flowering plant."""
168	168	270	F0652	Find quotes from Sun Tzu.	I'm interested in sun tzu	would like to know the story behind sun tzu	no i would like to see sun tzu quotes	would you like to see quotes by sun tzu	Yes	are you interested in books written about sun tzu	No, I just want the quotes.
169	169	289	F0723	Find information on yoga for seniors.	tell me about benefits of yoga	do you like to know benefits of yoga in the morning	no i want to find information on the benefits of yoga for seniors	are you referring to benefits of yoga essay	No, please just tell me why yoga is good for seniors	are you interested in benefits of yoga classes	Yes, but specifically for seniors.
170	170	277	F0682	"What are the names of the cast members of the television show ""Bewitched""?"	What is bewitched cast?	would you like to know where the cast of bewitched are now	no i want to know the names of the cast members	would you like to know what the cast of bewitched looks like now	No.	would you like the names of the original bewitched cast members	Yes, that's exactly what I need.
171	171	206	F0437	Find pictures of a wind farm.	I'm looking for wind power	would you like to learn about wind power for homes	pull up images of wind farms for me to see	are you looking for the definition of wind power	No, I would lie to see picturesof a wind farm.	are you interested in the benefits of wind power	No, I need to see pictures of a wind farm like I said earlier.
172	172	289	F0724	Does yoga help with weight loss?	tell me about benefits of yoga	would you like to know how the benefits of yoga are related to time of day	no i just want to know if yoga helps with weight loss	do you like to know benefits of yoga in the morning	No, I'd like to find out how yoga can help me to lose weight.	what types of benefits of yoga would you like to know about	I would like to know any correlation between practicing yoga and losing weight.
173	173	201	F0422	Find info about the raspberry pi foundation.	I would like to know more about raspberry pi	would you like to know about raspberry pi camera	i want to know about the raspberry pi foundation	when was raspberry pi created	I don't know	do you want to know where raspberry pi is made	No, I just want to know about the Raspberry Pi Foundation.
174	174	235	F0545	Find the web site of Ham Radio Outlet.	How do you get a ham radio license?	do you need instructions on how to operate a ham radio	no i want the site for ham radio outlet	do you want to know how to get a license	I don't know	would you like to learn about the license classes	No, I'm specifically looking for Ham Radio Outlet's website.
175	175	290	F0734	How do you identify a Norway Spruce?	Tell me about norway spruce.	what about norway spruce are you looking for	id like to know how to identify one	are you asking about a man named norway spruce	No! I want to know what the key identification aspects of a Norway spruce is	are you talking about a plant by the name of norway spruce	yes
176	176	218	F0492	What solar water fountains are available for gardens.	Tell me information about solar water fountains.	would you like to know how to build your own solar water fountain	no i just want to see solar garden fountains	are you interested in how solar water fountains work	No, I want to know what garden solar water fountains are available.	did you find them	No, I need to know which solar water fountains can be used for gardening.
177	177	215	F0482	Find the phone numbers for units within the Maryland Department of Natural Resources.	Info on maryland department of natural resources	do you want to know what jobs are available at the maryland department of natural resources	no	do you want to know the location of maryland department of natural resources	No, I just need the phone numbers	are you interested in jobs available in maryland department of natural resources	No, I need the phone number for different units within Maryland's Department of Natural Resources.
178	178	294	F0750	When did flowering plants first appear?	tell me more flowering plants	do you want to know about distinctive features of a flowering plant	no i want to know when they first appeared	how big would you like your flowering plants to get	No, I'd like to know when flowering plants first appeared.	how much gardening do you want with your flowering plant	no, I would like to kow when flowering plants first appeared.
179	179	206	F0432	Find information on wind power in the USA.	I'm looking for wind power	want to know more about wind energy in the united states	yes	are you looking for the definition of wind power	I don't know	would you like to view the pros and cons of using wind power	Yes, I am curious to know about the pros and cons of wind power.
180	180	212	F0472	Find reviews of home theater systems.	Tell me about home theater systems.	would you like a list of stores that sell home theater systems	no i would like to find reviews of home theater systems	would you like to buy a home theater system	I don't know	are you looking for reviews of the home theater systems	Yes, that's exactly what I need.
181	181	279	F0696	What are examples of problems game theory can be used to solve?	Tell me about game theory.	would you like to know the history of game theory	no i want to know what it can be used to solve	what type of game theory do you want to know about	I am not sure.	are you looking for the definition of game theory	No just the problems that it can solve.
182	182	255	F0608	Where can I buy teddy bears wholesale?	Tell me about teddy bears.	are you interested in the history of teddy bears	no i want to buy teddy bears	are you interested in books about teddy bears	No.	would you like to know more about the cultural impact of teddy bears	No, I want to know how to buy them in bulk.
183	183	222	F0508	What are the symptoms and signs of male menopause?	I'm looking for information on male menopause	would you like to know what age men may start male menopause	i would like to know about male menopause symptoms	do you want to know the symptoms of male menopause	yes i would like to know the sympoms of male menopause	is this an emergency	Yes, hurry.
184	184	235	F0543	Find information on ham radio antennas.	How do you get a ham radio license?	would you the frequencies of various ham radio stations	no i want info on ham radio antennas	want to know which antennas ham radios use	As I have said before	would you like a list of stores near you that sell ham radios	Yes, I need to know where to buy and get information about ham radio antennas.
185	185	285	F0713	What are the symptoms of a magnesium deficiency?	I'm interested in magnesium rich foods	would you like to know about magnesium rich foods that are kid friendly	no id like to know what the symptoms are if i don get enough magnesium	want to learn what other minerals are in foods that are high in magnesium	No, the symptoms of a  person lacking sufficient Magnesium in the body.	would you like to learn the drawbacks to consuming magnesium rich foods	No, I would just like to know what the symptioms are
186	186	201	F0420	What are hardware options for a raspberry pi?	I would like to know more about raspberry pi	would you like to know about raspberry pi camera	yes i would like to know about the hardware options of the camera	would you like to buy raspberry pi computer	No, i'd like to know about the camera.	what are the memory options available for raspberry pi	Memory options are good, but I would like to know about options for all of the hardware involved.
187	187	215	F0484	What information is available about Maryland parks and recreation?	Info on maryland department of natural resources	do you want to know the location of maryland department of natural resources	actually i would like info on maryland parks and rec	do you want to know more about jobs in connecticut	No, I need to know what fun stuff to do (parks and other stuff) in Maryland	are you interested in any specific city in florida	I'm not interested in Florida at all, just Maryland.
188	188	247	F0577	Find information about the real person on which the Rain Man movie is based.	Tell me about rain main.	are you looking for a lyrics of the rain main song	not what i asked for	do you want to know who directed rain man	No, I want to know about who the movie was based on.	are you looking for information on the cast and crew for rain man	No, I would like infomation on the man the movie is based on.
189	189	206	F0431	What are the pros and cons of using wind power.	I'm looking for wind power	would you like to learn about wind power for homes	no i want to know the pros and cons of using wind power	do you want to know the basics of wind power	No.	are you looking for the definition of wind power	Nope just the benefits and negatives.
190	190	291	F0739	What are recreational activities available within the Sangre de Cristo mountains region?	tell me about sangre de cristo mountains	are you interested in a map of the sangre de cristo mountains	no im interested in what recreational activities are available within the danger de cristo mountains region	would you like to see a map of sangre de cristo mountains	I don't know	are you planning on travelling to sangre de cristo mountains	Possibly, so I would like to know about the recreational activities available there.
191	191	259	F0622	Find a picture of a carpenter bee.	What is special about Carpenter bees?	do you need to know how to get rid of carpenterter bees	no i would like to see pictures of carpenterter bees	what kind of sound carpenterter bees make	No, I just want to see what it looks like	do you want their names	I want a picture of a carpenter bee.
192	192	289	F0724	Does yoga help with weight loss?	tell me about benefits of yoga	do you like to know benefits of yoga in the morning	no i want to know how yoga can help me lose weight	are you interested in benefits of yoga classes	Yes, specifically health and weight-loss benefits.	are you referring to benefits of yoga essay	No, I am referring to the specific benefits of yoga.
193	193	291	F0740	Find photos of the Sangre de Cristo mountains.	tell me about sangre de cristo mountains	are you interested in a map of the sangre de cristo mountains	no i would like to see pictures of the sangre de cristo mountains	would you like to see a map of sangre de cristo mountains	I don't know	why are you interested in sangre de cristo mountains	Yes, I would like to see photos of the mountains.
194	194	208	F0450	What DVD versions of the Doctor Zhivago movie are available?	tell me more about Doctor Zhivago	are you asking about the movie doctor zhivago	yes i am and i want to know about the dvd versions of it	do you want to read reviews about dr zhivago	Yes.	do you want to know dr zhivago hours	How many DVD versions of Dr. Zhivago are there?
195	195	243	F0564	Find pictures of the Afghanistan flag.	Find information about afghanistan flag	do you want to know how many square miles afghanistan is	I don't understand your question.	would you like to know where afghanistan is on the map	No, find in depth information about afghanistan flag	are you looking for a map of afghanistan	No I would like to know about the Afghanistan flag, like when was it created etc.
196	196	289	F0723	Find information on yoga for seniors.	tell me about benefits of yoga	would you like to know how the benefits of yoga are related to time of day	no i want to know how it benefits seniors	do you like to know benefits of yoga in the morning	I don't know	what types of benefits of yoga would you like to know about	No, I would like to know the different kinds of yoga for seniors
197	197	254	F0601	Find symptoms of Barrett's Esophagus.	Tell me about barrett's esophagus	would you like to know what is a suitable feet for someone who has barrets esophagus	no i want symptoms for barretts esophagus	would you like to know about the symptoms of barretts esophagus	Yes, thats what i'm looking for.	do you want to learn more about the risk factors for barretts esophagus	No, I would like to know the symptoms of barretts esophagus.
198	198	279	F0693	What's the timeline for the evolution of game theory?	Tell me about game theory.	what type of game theory do you want to know about	i don know	are you interested in videos about game theory	Yeah, thats a good start.	are you interested in the history of theories of evolution	I am not interested in this topic.
199	199	278	F0685	Find biographical information for Fred Rogers.	Find information about mister rogers	would you like to know where you can watch the tv show mister rogers	no thank you	do you need to know information about mister rogers	yes and about his life specifically	are you interested in the details of mister rogers life	Where can i find the full information?
200	200	220	F0502	Who are the NBA all-time record holders?	I'm interested in NBA records	what nba records are you interested in	i would like a list of all of the records and who accomplished them	are you interested in nba records for this season or all of history	Yes as I stated before	are you interested in team or individual nba records	both
201	201	218	F0494	What type of pumps are used for solar water fountains?	Tell me information about solar water fountains.	would you like to know how to build your own solar water fountain	no i would like to know what type of pumps are used for a solar water fountain	do you want to learn more about solar water fountains	Yes, about their pumps.	are you interested in learning where to purchase solar water fountains	Not yet; right now, I just want to know about what types of pumps are used.
202	202	260	F0630	Find images of the American Revolution.	tell me more about the american revolutionary	would you like me to tell you why the american revolution began	no id like to find images of the american revolution	would you like to know who fought in the american revolution	No I just need to see pics of the American Revolution	would you like to know the causes of the revolution	No, I would like to see pictures of the American revolution.
203	203	225	F0517	Find information on Black Hills gold jewelry.	I'm looking for black and gold.	are you looking for objects that are black and gold	nothe jeweller	do you need directions to the nearest black and gold store	No, find me information about Black Hilles gold jewelry.	do you want black and white or colored designs	No, provide me details about Black Hills gold jewelry.
204	204	254	F0601	Find symptoms of Barrett's Esophagus.	Tell me about barrett's esophagus	would you like to get information about getting diagnosed with barretts esophagus	yes i want info about symptoms	would you like to see a picture of barretts esophagus	No.	would you like to know about the symptoms of barretts esophagus	yes, I would like to know about the symptoms.
205	205	294	F0749	Which flowering plants do well in the shade?	tell me more flowering plants	how big would you like your flowering plants to get	i would like them to be no higher than 5 inches	how much gardening do you want with your flowering plant	I want to know about gardening in shaded areas.	do you want to know about distinctive features of a flowering plant	yes, relative to how they work in shaded areas
206	206	204	F0429	What are the official PGA rules for golf?	What is most importan rule of golf	are you looking to go to the nearest golf course	I don't understand your question.	are you interested in the current changes on the rules of golf	Just the overall rules now- specifically for the PGA	do you want to know how often the rules of golf changes	Not how often, just what the rules are.
207	207	249	F0586	What are the requirements to become an occupational therapist?	What is an occupational therapist?	do you want to know how to become an occupational therapist	yes	are you interested in the salary of an occupational therapist	No, I want to know how to become one.	do you want to find an occupational therapist	No thanks, I am more interested in pursuing occupational therapy as a career.
208	208	297	F0756	What are the treatments for altitude sickness?	Tell me about altitude sickness.	would you like to know how to reverse altitude sickness	yes	are you looking for altitude sickness remedies	Yes.. that's exactly it	do you want to know the symptoms of altitude sickness	No just the treatments for it.
209	209	235	F0540	How do you get a ham radio license?	How do you get a ham radio license?	do you need instructions on how to operate a ham radio	no i need to know how to obtain the license to operate it	would you like to buy ham radio equipment	No. I need to know what steps to take to get a license for it	would you like to learn about the popularity of ham radio	No, I need to know how to obtain a ham radio license.
210	210	233	F0534	What commercial hair dyes are available?	Tell me about hair dye.	are you interested in a particular hair dye or a history of hair dye	i prefer black	do you know what color of hair dye to use	No. I just need to know what they are used for	what color of hair dye are you looking for	I am looking for black hair dye, but I want to know what commericial types are available.
211	211	279	F0692	How did John Nash contribute to game theory?	Tell me about game theory.	what type of game theory do you want to know about	i want to know how john nash conributed to it	are you interested in videos about game theory	Yes	are you interested in the history of theories of evolution	No, I would like to know the contribution John Nash made to Game Theory.
212	212	285	F0712	Which foods are rich in magnesium?	I'm interested in magnesium rich foods	would you like to know about magnesium rich foods that are kid friendly	i just want to know any magnesium rich foods kid friendly or not	want to learn what other minerals are in foods that are high in magnesium	It is like I said before	would you like to learn the drawbacks to consuming magnesium rich foods	Let's just stick to basics here, so just tell me the top ten food items taht are rich in magnesium?
213	213	208	F0450	What DVD versions of the Doctor Zhivago movie are available?	tell me more about Doctor Zhivago	do you want to know if doctor zhivago is a real person	no im looking for a dvd of the movie	are you asking about the movie doctor zhivago	Yes I am	do you want to know which actor played doctor zhivago in the movie	No, I'm just looking for information on what DVD versions are available.
214	214	247	F0576	"Where can I watch the full ""Rain Main"" movie online?"	Tell me about rain main.	are you referring to the movie rain man	yes i would like to watch the full movie	would you like a list of reviews for the film rain man	No I want links that will allow me to watch the full movie	are you looking for a lyrics of the rain main song	Nope just how to watch the entire movie online.
215	215	273	F0670	Is there a genetic basis to Wilson's disease?	Give me information on wilson's disease.	do you want information on the treatment of wilsons disease	no id like to know if theres a genetic basis for wilsons disease	what can i tell you about wilsons disease	Does it involve genetics?	would you like to know the definition of wilsons disease	No, I want to know if it is genetic
216	216	218	F0495	Find solar water fountains for sale.	Tell me information about solar water fountains.	are you looking for the price of solar water fountains	yes i am wanted to find solar water fountains that are on sale	which price range of solar water fountains are you looking for	It doesn't matter to me. Just give me links to ones that are on sale	what specific types of solar water fountains are you interested in	I'm still researching, can you start by giving me a list of solar water fountains for sale?
217	217	273	F0667	What is the relationship between Wilson's disease and zinc?	Give me information on wilson's disease.	do you want information on the treatment of wilsons disease	no i want to know how wilsons disease is related to zinc	would you like to know about potential cures for wilsons disease	No, I  asked how zinc is related to it.	what do you need to know about wilsons disease	What connection there is between it and zinc.
218	218	226	F0518	What attractions are there in Traverse City, Michigan?	Tell me about traverse city.	are you trying to find directions to traverse city	no i want to know what attractions are available	what would you like to know about traverse city	I don't know	do you want to know about the local government of traverse city	No, I would like to know what attractions there are to visit in Traverse City.
219	219	249	F0582	What is an occupational therapist?	What is an occupational therapist?	do you want to find an occupational therapist	no i want to know what they do	do you want to know what an occupational therapist does	Yes	what area do you need an occupational therapist in	No, I what do know what a occupational therapist is.
220	220	208	F0449	Who was Boris Pasternak and how did his life affect his book?	tell me more about Doctor Zhivago	do you want to know if doctor zhivago is a real person	i want to know boris pasternaks relation to doctor zhivago	are you asking about the movie doctor zhivago	No, the relationship between Boris Pasternak and Doctor Zhivago.	do you want to know which actor played doctor zhivago in the movie	No I want to know about him and his book.
221	221	260	F0629	Find a time line of the American Revolution.	tell me more about the american revolutionary	would you like me to tell you why the american revolution began	i would just like to know the years of the american revolution	would you like to know who fought in the american revolution	Yes, I would like all the information presented in a timeline format.	would you like to know the years of the american revolution	Yes, but I want it in a timeline format.
222	222	279	F0691	Find books on game theory.	Tell me about game theory.	would you like to know the history of game theory	yes if there is a book i can read about it	what type of game theory do you want to know about	I just want to know what kind of books are about game theory in general	are you looking for the definition of game theory	No, I am looking for books on game theory.
223	223	242	F0561	How do you cook dried cannellini beans?	cannellini beans	are you interested in making soup with cannellini beans	i don know	are you looking for pasta dishes that can be made using cannellini beans	I'm looking to find out how to cook the actual cannellini beans.	are you interested in where to buy cannellini beans	No, I just want to know how to cook them when they're dry.
224	224	210	F0463	Is there a golf gps app for the Iphone?	golf gps	would you like a comparison of golf gps systems	no i want to know about a gold gps app	are you interested in the accuracy of the gps	Yes, but only for those offered by Iphone.	are you interested in how gps was orginally made	No, I would like to know if there is a app for iphone
225	225	291	F0741	What are the skiing possibilities in the Sangre de Cristo mountains?	tell me about sangre de cristo mountains	would you like to see a map of sangre de cristo mountains	i want to know about skiing activities in the sangre de cristo mountains	do you need directions to sangre de cristo mountains	That would be okay but I really need to know where I can ski there	why are you interested in sangre de cristo mountains	I would like to know different sking activities.
226	226	257	F0613	"Who are the characters in the book ""Holes"" by Louis Sachar?"	Find information about holes by louis sachar	would you like to know other books written by louis sachar	no id like to know who the characters are in holes	are you referring to the author	"I want to know about his book ""Holes""."	are you interested in purchasing the book	Yes how much?
227	227	245	F0572	What is the history of the Roosevelt Island tram?	roosevelt island	are you interested in the history of roosevelt island	i am interested in the roosevelt island tram	do you want information about the roosevelt island tramway	Yeah, that will work	would you like to visit roosevelt island	no, just provide me more information on Roosevelt Island tram.
228	228	220	F0502	Who are the NBA all-time record holders?	I'm interested in NBA records	are you interested in nba records for this season or all of history	tell me who holds records for all of history	is there a specific time period of nba records you are looking for	Yes all record holders	are the nba records for the division or game in its entirety	I am not so sure about that.
